label|disc|genus|model|atkin_lehner
text|integer|smallint|text|integer[]

159.1-[1,53]|159|5|[-3*X[1]^11*X[3]-25*X[1]^10*X[3]^2+46*X[1]^9*X[3]^3+483*X[1]^8*X[3]^4-571*X[1]^7*X[3]^5-1063*X[1]^6*X[3]^6+X[1]^5*X[2]*X[3]+286*X[1]^5*X[3]^7+X[1]^4*X[2]*X[3]^2+1361*X[1]^4*X[3]^8+X[1]^3*X[2]*X[3]^3-1221*X[1]^3*X[3]^9+X[1]^2*X[2]*X[3]^4+437*X[1]^2*X[3]^10-73*X[1]*X[3]^11+X[2]^2+X[2]*X[3]^6+5*X[3]^12]|[1,53]
159.1-[1]|159|9|[-177147*X[1]^20-1132218*X[1]^18-4367079*X[1]^16-8888824*X[1]^14-6650118*X[1]^12+1211556*X[1]^10+113578*X[1]^8-32376*X[1]^6-447*X[1]^4+134*X[1]^2-X[2]^2-3]|[1]
194.1-[1,194]|194|0|[X[2]^2-X[1]*X[3]]|[1,194]
194.1-[1,97]|194|4|[X[1]^10+3*X[1]^9*X[3]+7*X[1]^8*X[3]^2+19*X[1]^7*X[3]^3+29*X[1]^6*X[3]^4+43*X[1]^5*X[3]^5+X[1]^4*X[2]*X[3]+61*X[1]^4*X[3]^6+47*X[1]^3*X[3]^7+X[1]^2*X[2]*X[3]^3+55*X[1]^2*X[3]^8+24*X[1]*X[3]^9+X[2]^2+16*X[3]^10]|[1,97]
194.1-[1,2]|194|5|[10*X[1]^12-78*X[1]^11*X[3]+248*X[1]^10*X[3]^2-560*X[1]^9*X[3]^3+1135*X[1]^8*X[3]^4-1726*X[1]^7*X[3]^5+2367*X[1]^6*X[3]^6+X[1]^5*X[2]*X[3]-2432*X[1]^5*X[3]^7+X[1]^4*X[2]*X[3]^2+2188*X[1]^4*X[3]^8+X[1]^3*X[2]*X[3]^3-1426*X[1]^3*X[3]^9+X[1]^2*X[2]*X[3]^4+794*X[1]^2*X[3]^10-272*X[1]*X[3]^11+X[2]^2+76*X[3]^12]|[1,2]
194.1-[1]|194|9|[-19*X[1]^20-92*X[1]^19-286*X[1]^18-592*X[1]^17-921*X[1]^16-1016*X[1]^15-872*X[1]^14+460*X[1]^13+1545*X[1]^12+1752*X[1]^11+34*X[1]^10-1752*X[1]^9+1545*X[1]^8-460*X[1]^7-872*X[1]^6+1016*X[1]^5-921*X[1]^4+592*X[1]^3-286*X[1]^2+92*X[1]-X[2]^2-19]|[1]
206.1-[1,206]|206|0|[X[2]^2-X[1]*X[3]]|[1,206]
206.1-[1,2]|206|4|[X[1]^10-3*X[1]^9*X[3]+8*X[1]^8*X[3]^2-16*X[1]^7*X[3]^3+30*X[1]^6*X[3]^4+3*X[1]^5*X[3]^5+X[1]^4*X[2]*X[3]-8*X[1]^4*X[3]^6-40*X[1]^3*X[3]^7+X[1]^2*X[2]*X[3]^3-82*X[1]^2*X[3]^8+64*X[1]*X[3]^9+X[2]^2+76*X[3]^10]|[1,2]
206.1-[1,103]|206|5|[2*X[1]^11*X[3]-3*X[1]^10*X[3]^2-10*X[1]^9*X[3]^3-82*X[1]^8*X[3]^4-54*X[1]^7*X[3]^5+184*X[1]^6*X[3]^6+X[1]^5*X[2]*X[3]+1662*X[1]^5*X[3]^7+X[1]^4*X[2]*X[3]^2+4971*X[1]^4*X[3]^8+X[1]^3*X[2]*X[3]^3+7210*X[1]^3*X[3]^9+X[1]^2*X[2]*X[3]^4+4556*X[1]^2*X[3]^10+1024*X[1]*X[3]^11+X[2]^2]|[1,103]
206.1-[1]|206|9|[-8*X[1]^20+13*X[1]^18+42*X[1]^16+331*X[1]^14+220*X[1]^12-733*X[1]^10-6646*X[1]^8-19883*X[1]^6-28840*X[1]^4-18224*X[1]^2-X[2]^2-4096]|[1]
